Type of section,w/t,fy,fu,bs/lc,Agv,Agt,Anv,Ant,Ago,Anc,Failure mode
S ,15.9375,300,450,0.418684,2675.2,246.4,1830.4,169.6,632.32,478.72,0
S ,15.9375,300,450,0.418684,2675.2,246.4,1830.4,169.6,632.32,478.72,0
S ,15.9375,300,450,0.418684,2675.2,246.4,1830.4,169.6,632.32,478.72,0
S ,15.8333,300,450,0.304474,2006.4,151.2,1372.8,93.6,353.28,238.018,0
S ,15.9375,300,450,0.0418684,2675.2,246.4,1830.4,169.6,632.32,478.72,0
S ,15.9375,300,450,0.368684,2675.2,368,1830.4,291.2,632.32,478.72,0
S ,15.9375,300,450,0.418684,2675.2,246.6,1830.4,169.6,632.32,478.72,0
S ,5.6842,300,450,0.234211,3971,299.25,2717,185.45,467.875,448.875,0
S ,15.8333,300,450,0.304474,2006.4,151.2,1372.8,93.6,353.28,238.08,0
S ,15.8333,300,450,0.507456,1276.8,151.2,873.6,93.6,353.28,238.08,0
S ,15.8333,300,450,1.522368,547.2,151.2,374.6,93.6,353.28,238.08,0
D ,15.975,300,450,0.418684,5350.4,492.8,3660.8,339.2,1264.64,957.44,0
D ,15.9375,300,450,0.418684,5350.4,492.8,3660.8,339.2,1264.64,957.44,0
D ,15.9375,300,450,0.418684,5350.4,492.8,3660.4,339.2,1264.64,957.44,0
D ,15.8333,300,450,0.304474,4012.8,302.4,2745.6,187.2,706.56,476.16,0
D ,15.9375,300,450,0.418684,5350.4,492.8,3660.8,339.2,1264.64,957.44,0
D ,15.9375,300,450,0.418684,5350.4,492.8,3660.8,339.2,1264.64,957.44,0
D ,15.9375,300,450,0.368684,5350.4,736,3660.8,582.4,1264.64,957.44,0
D ,15.9375,300,450,0.368684,5350.4,736,3660.8,582.4,1264.64,957.44,0
D ,15.9375,300,450,0.418684,5350.4,493.8,3660.8,339.2,1264.64,957.44,0
D ,5.3684,300,450,0.226316,7942,598.5,5734,370.5,878.75,957.44,0
D ,10.625,300,450,0.238684,4012.8,302.4,2745.6,187.2,466.56,476.16,0
D ,10.625,300,450,0.397807,2553.6,302.4,1747.2,187.2,466.56,476.16,0
D ,10.625,300,450,1.193421,1094.4,302.4,748.8,187.2,466.56,476.16,0
S ,12.9923,346,490,2.564042,1092.454,397.256,775.744,291.6686,763.9358,950.0518,1
S ,13.5106,346,490,2.401312,1050.544,477.52,745.984,376,735.7568,914.7328,1
S ,13.2464,346,490,2.232677,1071.499,548.454,760.864,480.909,749.8576,932.4036,1
S ,14.1667,310,470,2.345309,472.8,159,265.8,90,492,234,1
S ,14.1667,310,470,2.356713,471,158.4,258.6,87.6,492,230.4,1
S ,10.8333,310,470,2.290196,482.4,163.2,269.1,92.1,372,349.8,1
S ,10.8333,310,470,2.148733,486,233.4,271.8,162,372,349.2,1
S ,10.8333,310,470,2.326,481.2,166.2,267.9,95.1,372,349.8,1
S ,14.1667,640,715,2.397959,479.4,159,266.1,87.9,492,229.8,1
S ,14.6667,640,715,1.925125,539.4,169.8,324.3,98.1,492,228.6,1
S ,14.1667,640,715,2.272908,483,179.4,268.8,108,492,229.2,1
S ,10.8333,640,715,2.336673,488.4,164.4,275.1,93.3,372,349.8,1
S ,10.8333,640,715,2.0094188,482.4,237,268.2,165.6,372,349.2,1
S ,10.8333,640,715,2.293886,483.6,166.2,271.2,95.4,372,350.4,1
S ,10.8333,640,715,1.921844,47.52,168.6,261,97.2,372,229.2,1
S ,10.8333,640,715,3.176471,478.8,164.4,260.7,92.7,372,588.6,1
,,,,,,,,,,,
,,,,,,,,,,,
